height	year	sex	native	native2	home	vowel	F1	F2	F3	F4
70	2	0	1	NA	GA	AO	604.453717	1212.027837	2909.6469	3682.685661
70	2	0	1	NA	GA	AA	663.5837183	1261.700239	2889.124308	3689.27912
70	2	0	1	NA	GA	AE	708.8476043	1704.297033	2803.106928	3016.652538
70	2	0	1	NA	GA	AW1	696.3846307	1660.97948	2871.11955	3500.213059
70	2	0	1	NA	GA	AW2	691.5431061	1376.49088	2843.22416	3740.594209
70	2	0	1	NA	GA	AY1	745.590106	1370.589195	2715.140775	3863.592174
70	2	0	1	NA	GA	AY2	664.989732	1945.187177	2942.215348	3980.053047
70	2	0	1	NA	GA	EY1	620.964531	1776.219194	2602.853157	3466.666255
70	2	0	1	NA	GA	EY2	593.0807803	2185.872795	2835.120884	3952.501346
70	2	0	1	NA	GA	OW1	540.9438063	1426.589053	2877.942244	3599.614233
70	2	0	1	NA	GA	OW2	515.268104	1300.560396	2966.709447	3727.060756
70	2	0	1	NA	GA	OY1	501.679191	981.8217057	2923.379522	3551.475238
70	2	0	1	NA	GA	OY2	609.124508	1770.444612	2854.812363	3995.611412
69	3	1	1	NA	CA	IY	273.9166667	2058.76	2912.573333	3637.303333
69	3	1	1	NA	CA	UW	569.6466667	1649.323333	2649.196667	3742.093333
69	3	1	1	NA	CA	IH	424.95	1776.296667	2503.513333	3526.153333
69	3	1	1	NA	CA	UH	564.6233333	1225.526667	2536.196667	3542.543333
69	3	1	1	NA	CA	EH	612.49	1529.96	2667.35	3529.936667
69	3	1	1	NA	CA	AH	632.0133333	1236.43	2707.766667	3239.766667
69	3	1	1	NA	CA	AXR	652.1733333	1500.793333	2113.343333	3494.496667
69	3	1	1	NA	CA	AO	761.4	970.2633333	2723.023333	3677.52
69	3	1	1	NA	CA	AA	740.36	1076.71	2682.063333	3830.643333
69	3	1	1	NA	CA	AE	700.3966667	1540.363333	2581.5	3487.763333
69	3	1	1	NA	CA	AW1	666.25	1446.356667	2765.41	3479.1
69	3	1	1	NA	CA	AW2	655.0266667	1400.356667	2878.176667	3743.806667
69	3	1	1	NA	CA	AY1	725.55	1241.776667	2787.853333	3523.913333
69	3	1	1	NA	CA	AY2	588.4433333	1677.08	2713.026667	3670.333333
69	3	1	1	NA	CA	EY1	485.01	1875.416667	2893.25	3546.906667
69	3	1	1	NA	CA	EY2	496.1933333	2018.813333	2899.123333	3756.98
69	3	1	1	NA	CA	OW1	542.18	1155.906667	2627.36	3665.826667
69	3	1	1	NA	CA	OW2	609.3833333	1390.733333	2582.923333	3811.506667
69	3	1	1	NA	CA	OY1	525.74	1002.963333	2937.693333	3373.463333
69	3	1	1	NA	CA	OY2	586.5733333	1834.243333	2970.066667	3802.643333
68	2	0	1	NA	NY	IY	334.53948	2479.96116	3574.298395	4017.99875
68	2	0	1	NA	NY	UW	355.0028547	1507.920339	3503.487006	4082.855893
68	2	0	1	NA	NY	IH	479.3970263	2330.413081	3235.788735	4094.794996
68	2	0	1	NA	NY	UH	505.14953	1114.443854	2951.416732	3944.25478
68	2	0	1	NA	NY	EH	719.4006347	1983.395666	3090.480317	4112.29166
68	2	0	1	NA	NY	AH	759.1296527	1254.260037	2678.370187	4110.481396
68	2	0	1	NA	NY	AXR	515.984482	1373.558594	2055.252613	3938.310064
68	2	0	1	NA	NY	AO	731.106145	1133.394949	3402.489701	4084.58003
68	2	0	1	NA	NY	AA	761.0457887	1141.484114	2601.882477	3850.579773
68	2	0	1	NA	NY	AE	872.707585	1805.952372	3004.730731	4170.708491
68	2	0	1	NA	NY	AW1	832.4225917	1597.386416	4019.589434	4019.589434
68	2	0	1	NA	NY	AW2	858.5054893	1316.413921	2746.499497	3904.764064
68	2	0	1	NA	NY	AY1	883.9008617	1382.184189	2811.351572	4113.135985
68	2	0	1	NA	NY	AY2	916.1703913	1959.138253	3025.445998	4206.025973
68	2	0	1	NA	NY	EY1	667.9651023	2236.840283	3200.76376	4146.118249
68	2	0	1	NA	NY	EY2	540.7885557	2529.652139	3144.308413	4113.580849
68	2	0	1	NA	NY	OW1	565.076646	1234.802474	3018.450636	4055.548926
68	2	0	1	NA	NY	OW2	510.961679	1186.715618	2844.717649	4080.458765
68	2	0	1	NA	NY	OY1	477.2664863	794.1055913	3217.438304	3903.700262
68	2	0	1	NA	NY	OY2	560.9684813	1583.793295	3036.189979	3848.533971
62	3	0	1	NA	CO	IY	304.047321	2905.687664	3439.03596	0
62	3	0	1	NA	CO	UW	350.7421575	1485.98846	2904.207069	0
62	3	0	1	NA	CO	IH	483.697518	1349.303489	2506.263278	0
62	3	0	1	NA	CO	UH	584.4729895	1354.066862	2933.339365	0
62	3	0	1	NA	CO	EH	739.7121893	1779.734218	2347.657695	0
62	3	0	1	NA	CO	AH	617.0956729	1329.288521	2124.447156	0
62	3	0	1	NA	CO	AXR	517.6228298	1687.742385	1901.02723	0
62	3	0	1	NA	CO	AO	879.7154112	1271.564061	2848.725837	0
62	3	0	1	NA	CO	AA	826.5131722	1269.123315	2393.741029	0
62	3	0	1	NA	CO	AE	561.1291221	1407.824395	2617.390171	0
62	3	0	1	NA	CO	AW1	839.251939	1342.488714	1870.318721	0
62	3	0	1	NA	CO	AW2	706.8392401	1258.858264	2613.68363	0
62	3	0	1	NA	CO	AY1	876.7133743	1488.793116	1735.139112	0
62	3	0	1	NA	CO	AY2	630.0945385	2089.593472	2843.266879	0
62	3	0	1	NA	CO	EY1	619.9663924	1869.375093	2112.1007	0
62	3	0	1	NA	CO	EY2	592.8904168	2393.403818	3055.797521	0
62	3	0	1	NA	CO	OW1	614.5588712	1556.608813	2532.925375	0
62	3	0	1	NA	CO	OW2	462.1831308	1268.732255	2966.165192	0
62	3	0	1	NA	CO	OY1	482.6813511	947.113854	3147.677108	0
62	3	0	1	NA	CO	OY2	433.2198691	2067.390821	2921.648767	0
60	2	0	1	Kannada	MN	IY	314.5106133	3008.806865	3470.853563	4620.69569
60	2	0	1	Kannada	MN	UW	342.1868367	1412.09936	2956.381176	3791.960107
60	2	0	1	Kannada	MN	IH	502.622754	2367.193298	3075.157234	3951.605922
60	2	0	1	Kannada	MN	UH	655.5991153	1529.824804	3289.342349	4578.544545
60	2	0	1	Kannada	MN	EH	870.4922003	1989.062968	3130.045782	3637.499659
60	2	0	1	Kannada	MN	AH	908.3343867	1686.040054	3111.900658	3599.775516
60	2	0	1	Kannada	MN	AXR	622.9663293	1880.040645	2379.939836	3428.000034
60	2	0	1	Kannada	MN	AO	780.354685	1348.012017	3105.191249	3321.698607
60	2	0	1	Kannada	MN	AA	980.848291	1267.708653	3229.99107	3659.472817
60	2	0	1	Kannada	MN	AE	1144.72039	1565.550312	2262.748178	3395.894735
60	2	0	1	Kannada	MN	AW1	900.141005	1534.934974	2484.516661	3105.793754
60	2	0	1	Kannada	MN	AW2	323.9970843	1645.123597	3193.86726	4069.231655
60	2	0	1	Kannada	MN	AY1	1088.110064	1721.109948	2426.442381	3106.358115
60	2	0	1	Kannada	MN	AY2	562.4997613	2154.148627	2960.960792	3557.13109
60	2	0	1	Kannada	MN	EY1	483.674703	1880.337784	2798.260134	3304.362695
60	2	0	1	Kannada	MN	EY2	314.784172	2503.840174	2988.994689	3638.305254
60	2	0	1	Kannada	MN	OW1	634.509513	1372.404346	3189.808225	3703.179122
60	2	0	1	Kannada	MN	OW2	393.1502757	1371.786613	3219.494833	4583.665233
60	2	0	1	Kannada	MN	OY1	559.4238127	1143.539789	3043.74951	3864.823347
60	2	0	1	Kannada	MN	OY2	429.5536287	2418.412055	2741.9403	3165.925032
66	3	0	1	NA	MI	IY	377.9290114	2896.253141	3687.174208	0
66	3	0	1	NA	MI	UW	386.7542349	1317.986052	2883.970379	0
66	3	0	1	NA	MI	IH	588.3153654	2019.954019	2930.445719	0
66	3	0	1	NA	MI	UH	576.0214304	1232.388744	2877.474371	0
66	3	0	1	NA	MI	EH	744.1157526	1849.806689	2850.464628	0
66	3	0	1	NA	MI	AH	729.6931947	1528.326621	2658.858158	0
66	3	0	1	NA	MI	AXR	519.2248573	1548.645296	1769.407734	0
66	3	0	1	NA	MI	AO	753.2518435	1073.597708	2420.221538	0
66	3	0	1	NA	MI	AA	835.7325812	1301.190254	2606.460461	0
66	3	0	1	NA	MI	AE	875.2474107	1668.73668	2538.768415	0
66	3	0	1	NA	MI	AW1	914.3333333	1585	2459.333333	3795.333333
66	3	0	1	NA	MI	AW2	456	1165.666667	2630	11824
66	3	0	1	NA	MI	AY1	756.3333333	1526.333333	2632.333333	3801
66	3	0	1	NA	MI	AY2	409.6666667	2813.666667	3201	4088.333333
66	3	0	1	NA	MI	EY1	477	2484.333333	2920	3894.333333
66	3	0	1	NA	MI	EY2	356	2845	3207	4207.333333
66	3	0	1	NA	MI	OW1	575.3333333	1361.333333	2711.666667	3749.333333
66	3	0	1	NA	MI	OW2	360.6666667	1077	2889.333333	3959
66	3	0	1	NA	MI	OY1	474.6666667	846.3333333	2768.333333	3714.666667
66	3	0	1	NA	MI	OY2	469.3333333	2239	2748	3758.333333
67	4	1	1	NA	TX	IY	246.0416847	2386.242439	2636.066633	3810.434039
67	4	1	1	NA	TX	UW	352.0604203	1216.037639	2498.274241	3579.760457
67	4	1	1	NA	TX	IH	454.830837	1881.657635	2688.68813	4046.22777
67	4	1	1	NA	TX	UH	526.2694777	1122.168648	2717.218695	3896.425669
67	4	1	1	NA	TX	EH	623.2255147	1683.381374	2509.586344	4022.301459
67	4	1	1	NA	TX	AH	619.5330337	1211.435708	2794.046911	4182.310611
67	4	1	1	NA	TX	AXR	476.1861137	1342.436093	1644.051742	3844.783634
67	4	1	1	NA	TX	AO	523.3317767	1178.890057	2885.633224	3698.895155
67	4	1	1	NA	TX	AA	652.468725	1178.067111	2832.526636	3869.511946
67	4	1	1	NA	TX	AE	711.5914063	1565.953042	2466.296491	4064.097816
67	4	1	1	NA	TX	AW1	642.6699767	1396.730403	2624.76668	4134.632717
67	4	1	1	NA	TX	AW2	541.7783203	1152.376382	2591.410944	4075.484923
67	4	1	1	NA	TX	AY1	558.146369	1245.776326	2719.467409	3914.332475
67	4	1	1	NA	TX	AY2	341.4027637	2060.590561	2643.048588	3758.725406
67	4	1	1	NA	TX	EY1	404.6088417	1898.142216	2641.336749	3816.953186
67	4	1	1	NA	TX	EY2	327.528375	1822.89957	2703.372559	3611.899417
67	4	1	1	NA	TX	OW1	500.9834733	1224.945871	2902.710952	3598.90293
67	4	1	1	NA	TX	OW2	378.1631683	1238.568466	2878.285311	3851.429934
67	4	1	1	NA	TX	OY1	498.2762193	809.198245	3019.271759	4057.797922
67	4	1	1	NA	TX	OY2	421.264269	1797.862889	2597.838483	4162.802516
62	2	0	1	NA	CA	IY	393.174	3076.458667	3991.138667	4690.071333
62	2	0	1	NA	CA	UW	396.296	1287.286667	3086.335	4580.488667
62	2	0	1	NA	CA	IH	537.542	2273.875	3040.3055	4144.278
62	2	0	1	NA	CA	UH	605.9076667	1295.168333	2978.633333	4297.513667
62	2	0	1	NA	CA	EH	847.382	2144.316	3048.877	4092.356333
62	2	0	1	NA	CA	AH	851.145	1520.369333	2938.063	4129.512333
62	2	0	1	NA	CA	AXR	556.6403333	1450.219	1803.190333	4338.226667
62	2	0	1	NA	CA	AO	836.3796667	1205.581667	2580.165667	3802.084333
62	2	0	1	NA	CA	AA	826.5663333	1237.251	2596.692333	3733.796333
62	2	0	1	NA	CA	AE	926.6426667	1560.517333	2032.671667	2879.842667
62	2	0	1	NA	CA	AW1	993.6225667	1667.675	2622.622333	4001.385333
62	2	0	1	NA	CA	AW2	522.1253333	1076.549667	2878.590333	4302.462333
62	2	0	1	NA	CA	AY1	902.1086667	1366.426667	2510.518667	3907.868333
62	2	0	1	NA	CA	AY2	587.3576667	2511.395667	3038.603333	4446.032
62	2	0	1	NA	CA	EY1	762.883	2255.588333	3133.763	4514.694333
62	2	0	1	NA	CA	EY2	612.6643333	2595.369333	3125.113	4658.8109
62	2	0	1	NA	CA	OW1	641.7136667	1294.433667	2923.867333	4135.809667
62	2	0	1	NA	CA	OW2	412.228	1091.181667	3010.932667	4496.079667
62	2	0	1	NA	CA	OY1	488.5416667	912.5246667	2976.525	3864.941333
62	2	0	1	NA	CA	OY2	525.5003333	2468.384	2925.513	4399.306
62	2	0	1	NA	CA	IY	379.073	1519.077667	3182.709667	3894.772667
62	2	0	1	NA	CA	UW	367.4146667	1391.002	2794.630667	4192.222
62	2	0	1	NA	CA	IH	517.065	2105.724333	2832.177	4210.216667
62	2	0	1	NA	CA	UH	505.0516667	1301.488333	2709.276333	3848.073
62	2	0	1	NA	CA	EH	760.0646667	1844.479667	2811.435333	4234.147333
62	2	0	1	NA	CA	AH	655.504	1394.910667	2734.103333	4066.662333
62	2	0	1	NA	CA	AXR	453.0713333	1350.119	1438.761	3637.546333
62	2	0	1	NA	CA	AO	802.4043333	1188.289	2669.652	3964.713
62	2	0	1	NA	CA	AA	837.3776667	1204.465	2736.583	4129.893333
62	2	0	1	NA	CA	AE	1000.405	1661.032	2538.084667	4454.287333
62	2	0	1	NA	CA	AW1	957.1426667	1554.890667	2408.602333	4560.482
62	2	0	1	NA	CA	AW2	461.6086667	1056.098667	2361.528333	3799.835
62	2	0	1	NA	CA	AY1	979.1583333	1283.591	2302.784333	3602.994333
62	2	0	1	NA	CA	AY2	396.971	2051.956333	3124.911667	4030.937667
62	2	0	1	NA	CA	EY1	747.7146667	2089.043333	2853.553	4363.167333
62	2	0	1	NA	CA	EY2	387.545	2012.153333	2807.537333	3904.697
62	2	0	1	NA	CA	OW1	562.9663333	1257.708333	2578.184	4319.167667
62	2	0	1	NA	CA	OW2	410.388	1125.037333	2644.379667	4312.599
62	2	0	1	NA	CA	OY1	476.6846667	829.3666667	2607.503333	3953.201
62	2	0	1	NA	CA	OY2	406.1696667	1747.760667	2656.715333	4307.703667
66	2	1	1	NA	PA	IY	420.5784886	2295.427288	3221.793956	0
66	2	1	1	NA	PA	UW	401.7284058	1277.626155	3287.549793	0
